Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,47.570000,47.799999,46.169998,46.630001,43.983128,25380000
2018-01-03,47.529999,48.070000,47.439999,47.709999,45.001820,24165000
2018-01-04,47.990002,48.189999,47.720001,48.180000,45.445152,19815100
2018-01-05,48.419998,48.630001,48.279999,48.470001,45.718693,14496400
2018-01-08,48.299999,49.070000,47.939999,48.980000,46.199730,15075000
2018-01-09,49.250000,49.360001,48.919998,49.060001,46.455406,14153700
2018-01-10,48.860001,49.270000,48.580002,48.799999,46.209198,13476600
2018-01-11,48.869999,49.020000,48.439999,48.950001,46.351242,11687800
2018-01-12,49.180000,49.830002,49.060001,49.509998,46.881508,15978200
2018-01-16,49.849998,50.060001,49.439999,49.590000,46.957268,17152600
2018-01-17,49.910000,50.290001,49.849998,50.270000,47.601162,23183100
2018-01-18,50.189999,50.680000,50.099998,50.230000,47.563286,17119200
2018-01-19,50.500000,50.599998,50.270000,50.580002,47.894707,14011500
2018-01-22,50.430000,50.740002,50.270000,50.709999,48.017799,16840000
2018-01-23,50.750000,51.270000,50.570000,51.119999,48.406036,14141400
2018-01-24,51.360001,52.000000,51.209999,51.450001,48.718517,17205600
2018-01-25,51.540001,52.049999,51.540001,51.599998,48.860550,13904300
2018-01-26,51.860001,52.750000,51.759998,52.750000,49.949505,14909200
2018-01-29,52.669998,52.790001,51.880001,51.939999,49.182495,12234900
2018-01-30,51.740002,51.990002,50.750000,50.959999,48.254528,16863500
2018-01-31,50.860001,51.849998,50.860001,51.590000,48.851078,16806800
2018-02-01,51.360001,51.980000,51.259998,51.630001,48.888962,11674100
2018-02-02,51.250000,51.410000,50.040001,50.130001,47.468597,17562200
2018-02-05,50.040001,50.700001,48.060001,48.090000,45.536896,19725800
2018-02-06,47.330002,49.509998,46.810001,49.400002,46.777348,25921200
2018-02-07,49.200001,49.849998,48.820000,48.869999,46.275486,15138000
2018-02-08,49.090000,49.119999,46.810001,46.840000,44.353264,21255400
2018-02-09,47.580002,48.150002,45.919998,47.730000,45.196011,23191000
2018-02-12,48.220001,48.490002,47.720001,48.150002,45.593708,16261600
2018-02-13,48.009998,48.680000,47.770000,48.490002,45.915665,12633100
2018-02-14,48.189999,49.520000,48.139999,49.450001,46.824703,14271400
2018-02-15,49.700001,50.689999,49.430000,50.639999,47.951511,14132500
2018-02-16,50.549999,51.139999,50.490002,50.709999,48.017799,11098800
