Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,112.769997,112.788002,112.074997,112.769997,112.769997,0
2018-01-03,112.264000,112.485001,112.193001,112.244003,112.244003,0
2018-01-04,112.606003,112.853996,112.507004,112.607002,112.607002,0
2018-01-05,112.790001,113.289001,112.731003,112.782997,112.782997,0
2018-01-08,113.151001,113.370003,112.892998,113.153999,113.153999,0
2018-01-09,113.174004,113.174004,112.370003,113.140999,113.140999,0
2018-01-10,112.769997,112.769997,111.280998,112.754997,112.754997,0
2018-01-11,111.426003,111.871002,111.334000,111.444000,111.444000,0
2018-01-12,111.289001,111.669998,111.002998,111.293999,111.293999,0
2018-01-15,111.169998,111.169998,110.492996,111.099998,111.099998,0
2018-01-16,110.627998,110.973000,110.601997,110.581001,110.581001,0
2018-01-17,110.347000,110.908997,110.208000,110.388000,110.388000,0
2018-01-18,111.341003,111.473999,110.736000,111.375999,111.375999,0
2018-01-19,111.004997,111.106003,110.504997,111.026001,111.026001,0
2018-01-22,110.696999,111.148003,110.613998,110.683998,110.683998,0
2018-01-23,110.973999,111.160004,110.255997,110.966003,110.966003,0
2018-01-24,110.123001,110.292000,109.009003,110.107002,110.107002,0
2018-01-25,109.306000,109.461998,108.589996,109.325996,109.325996,0
2018-01-26,109.662003,109.754997,108.335999,109.704002,109.704002,0
2018-01-29,108.648003,109.189003,108.511002,108.639000,108.639000,0
2018-01-30,108.958000,109.195000,108.425003,108.926003,108.926003,0
2018-01-31,108.755997,109.420998,108.599998,108.732002,108.732002,0
2018-02-01,109.179001,109.744003,109.113998,109.200996,109.200996,0
2018-02-02,109.387001,110.467003,109.304001,109.405998,109.405998,0
2018-02-05,110.022003,110.253998,109.668999,110.035004,110.035004,0
2018-02-06,109.013000,109.625999,108.471001,109.095001,109.095001,0
2018-02-07,109.619003,109.651001,108.926003,109.626999,109.626999,0
2018-02-08,109.130997,109.776001,108.897003,109.195999,109.195999,0
2018-02-09,108.577003,109.286003,108.444000,108.528999,108.528999,0
2018-02-12,108.786003,108.786003,108.455002,108.800003,108.800003,0
2018-02-13,108.674004,108.752998,107.433998,108.690002,108.690002,0
2018-02-14,107.759003,107.886002,106.723999,107.764000,107.764000,0
2018-02-15,106.592003,106.874001,106.194000,106.586998,106.586998,0
2018-02-16,106.059998,106.370003,105.557999,106.111000,106.111000,0
2018-02-19,106.269997,106.712997,106.098000,106.261002,106.261002,0
2018-02-20,106.723999,107.346001,106.644997,106.709000,106.709000,0
2018-02-21,107.373001,107.889000,107.303001,107.380997,107.380997,0
2018-02-22,107.629997,107.757004,106.649002,107.555000,107.555000,0
2018-02-23,106.845001,107.113998,106.523003,106.814003,106.814003,0
2018-02-26,107.052002,107.063004,106.383003,107.073997,107.073997,0
2018-02-27,107.085999,107.639999,106.794998,107.069000,107.069000,0
2018-02-28,107.463997,107.522003,106.583000,107.426003,107.426003,0
2018-03-01,106.642998,107.193001,106.567001,106.639999,106.639999,0
2018-03-02,106.175003,106.282997,105.263496,106.163002,106.163002,0
2018-03-05,105.559998,105.983002,105.348999,105.556000,105.556000,0
2018-03-06,106.276001,106.453003,105.852997,106.250000,106.250000,0
2018-03-07,105.613998,106.180000,105.511002,105.537003,105.537003,0
2018-03-08,106.168999,106.253998,105.898003,106.185997,106.185997,0
2018-03-09,106.403000,107.028999,106.359001,106.405998,106.405998,0
2018-03-12,106.886002,106.966003,106.374001,106.890999,106.890999,0
2018-03-13,106.318001,107.275002,106.263000,106.260002,106.260002,0
2018-03-14,106.549004,106.734001,106.084000,106.508003,106.508003,0
2018-03-15,106.153999,106.171997,105.790001,106.154999,106.154999,0
2018-03-16,106.328003,106.328003,105.607002,106.308998,106.308998,0
2018-03-19,105.968002,106.297997,105.681000,105.969002,105.969002,0
2018-03-20,106.038002,106.583000,105.984001,105.996002,105.996002,0
